Product Name,Order YearMonth,Order Quantity,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Inventory to Sales Delta
Bridgestone e6 Straight Distance NFL Tennesse,201607,2.0,201607,1,1.85292,-1.0
Bridgestone e6 Straight Distance NFL Tennesse,201608,4.0,201608,0,0.17273,-4.0
Bridgestone e6 Straight Distance NFL Tennesse,201609,1.0,201609,1,0.88201,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201610,5.0,201610,2,2.11622,-3.0
Bridgestone e6 Straight Distance NFL Tennesse,201611,5.0,201611,1,1.96084,-4.0
Bridgestone e6 Straight Distance NFL Tennesse,201701,4.0,201701,6,0.41429,2.0
Bridgestone e6 Straight Distance NFL Tennesse,201702,4.0,201702,1,1.50731,-3.0
Bridgestone e6 Straight Distance NFL Tennesse,201703,2.0,201703,2,1.24482,0.0
Brooks Women's Ghost 6 Running Shoe,201601,2.0,201601,0,1.69787,-2.0
Brooks Women's Ghost 6 Running Shoe,201608,5.0,201608,6,0.87811,1.0
Brooks Women's Ghost 6 Running Shoe,201703,1.0,201703,0,1.42816,-1.0
Brooks Women's Ghost 6 Running Shoe,201705,3.0,201705,1,1.10825,-2.0
Brooks Women's Ghost 6 Running Shoe,201706,6.0,201706,2,1.64343,-4.0
Brooks Women's Ghost 6 Running Shoe,201707,9.0,201707,3,2.26513,-6.0
Brooks Women's Ghost 6 Running Shoe,201708,9.0,201708,14,2.16146,5.0
Brooks Women's Ghost 6 Running Shoe,201709,4.0,201709,8,0.37901,4.0
CDs of rock,201508,2.0,201508,2,1.32179,0.0
CDs of rock,201509,4.0,201509,8,1.44372,4.0
CDs of rock,201706,1.0,201706,0,0.77223,-1.0
CDs of rock,201708,1.0,201708,1,1.42987,0.0
CDs of rock,201709,3.0,201709,1,0.87013,-2.0
CDs of rock,201710,31.0,201710,34,2.22295,3.0
CDs of rock,201711,6.0,201711,3,0.85409,-3.0
Children's heaters,201709,1.0,201709,2,2.17739,1.0
Children's heaters,201710,4.0,201710,3,2.28254,-1.0
Children's heaters,201711,1.0,201711,1,0.78152,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201502,1.0,201502,1,1.93824,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201508,3.0,201508,4,1.48925,1.0
Cleveland Golf Collegiate My Custom Wedge 588,201509,1.0,201509,2,1.842,1.0
Cleveland Golf Collegiate My Custom Wedge 588,201705,3.0,201705,4,0.85175,1.0
Cleveland Golf Collegiate My Custom Wedge 588,201706,2.0,201706,0,2.07511,-2.0
Cleveland Golf Collegiate My Custom Wedge 588,201707,1.0,201707,2,1.06494,1.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201510,1.0,201510,2,0.56453,1.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201705,1.0,201705,1,1.07789,0.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201706,1.0,201706,2,2.28998,1.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201707,1.0,201707,0,1.55096,-1.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201710,1.0,201710,1,0.79587,0.0
Clicgear 8.0 Shoe Brush,201501,5.0,201501,0,0.98187,-5.0
Clicgear 8.0 Shoe Brush,201502,4.0,201502,4,1.9182,0.0
Clicgear 8.0 Shoe Brush,201504,14.0,201504,16,1.36066,2.0
Clicgear 8.0 Shoe Brush,201505,11.0,201505,15,2.3073,4.0
Clicgear 8.0 Shoe Brush,201506,2.0,201506,4,1.61477,2.0
Clicgear 8.0 Shoe Brush,201507,4.0,201507,2,1.61125,-2.0
Clicgear 8.0 Shoe Brush,201508,4.0,201508,5,0.39383,1.0
Clicgear 8.0 Shoe Brush,201509,4.0,201509,3,1.77073,-1.0
Clicgear 8.0 Shoe Brush,201510,10.0,201510,19,1.89521,9.0
Clicgear 8.0 Shoe Brush,201603,5.0,201603,10,1.14786,5.0
Clicgear 8.0 Shoe Brush,201604,3.0,201604,1,0.56424,-2.0
Clicgear 8.0 Shoe Brush,201605,12.0,201605,17,1.0454,5.0
Clicgear 8.0 Shoe Brush,201606,3.0,201606,6,0.71068,3.0
Clicgear 8.0 Shoe Brush,201607,7.0,201607,10,1.2709,3.0
Clicgear 8.0 Shoe Brush,201608,11.0,201608,20,1.24249,9.0
Clicgear 8.0 Shoe Brush,201610,5.0,201610,0,1.3691,-5.0
Clicgear 8.0 Shoe Brush,201611,5.0,201611,13,1.32671,8.0
Clicgear 8.0 Shoe Brush,201701,2.0,201701,1,1.60907,-1.0
Clicgear 8.0 Shoe Brush,201703,5.0,201703,3,0.82452,-2.0
Clicgear 8.0 Shoe Brush,201704,4.0,201704,6,1.74432,2.0
Clicgear 8.0 Shoe Brush,201706,3.0,201706,0,0.37121,-3.0
Clicgear 8.0 Shoe Brush,201708,4.0,201708,4,0.99774,0.0
Clicgear Rovic Cooler Bag,201501,2.0,201501,2,0.30602,0.0
Clicgear Rovic Cooler Bag,201502,2.0,201502,4,1.56991,2.0
Clicgear Rovic Cooler Bag,201503,3.0,201503,1,0.18579,-2.0
Clicgear Rovic Cooler Bag,201504,6.0,201504,2,1.75691,-4.0
Clicgear Rovic Cooler Bag,201505,8.0,201505,5,2.0936,-3.0
Clicgear Rovic Cooler Bag,201506,6.0,201506,5,1.33787,-1.0
Clicgear Rovic Cooler Bag,201507,8.0,201507,11,1.14233,3.0
Clicgear Rovic Cooler Bag,201508,4.0,201508,7,1.85596,3.0
Clicgear Rovic Cooler Bag,201512,3.0,201512,0,0.10415,-3.0
Clicgear Rovic Cooler Bag,201601,7.0,201601,10,1.96113,3.0
Clicgear Rovic Cooler Bag,201602,14.0,201602,1,1.25968,-13.0
Clicgear Rovic Cooler Bag,201603,2.0,201603,2,2.16479,0.0
Clicgear Rovic Cooler Bag,201604,8.0,201604,0,0.33661,-8.0
Clicgear Rovic Cooler Bag,201605,7.0,201605,14,1.21957,7.0
Clicgear Rovic Cooler Bag,201606,13.0,201606,13,1.46389,0.0
Clicgear Rovic Cooler Bag,201607,5.0,201607,4,1.18032,-1.0
Clicgear Rovic Cooler Bag,201608,3.0,201608,0,1.41176,-3.0
Clicgear Rovic Cooler Bag,201609,6.0,201609,0,0.97695,-6.0
Clicgear Rovic Cooler Bag,201610,17.0,201610,30,1.84945,13.0
Clicgear Rovic Cooler Bag,201612,5.0,201612,0,1.2093,-5.0
Clicgear Rovic Cooler Bag,201701,8.0,201701,7,1.06015,-1.0
Clicgear Rovic Cooler Bag,201702,2.0,201702,1,0.58051,-1.0
Clicgear Rovic Cooler Bag,201703,8.0,201703,14,0.30921,6.0
Clicgear Rovic Cooler Bag,201704,7.0,201704,1,0.3143,-6.0
Columbia Men's PFG Anchor Tough T-Shirt,201502,7.0,201502,10,1.78453,3.0
Columbia Men's PFG Anchor Tough T-Shirt,201503,4.0,201503,0,1.74362,-4.0
Columbia Men's PFG Anchor Tough T-Shirt,201504,6.0,201504,0,1.03759,-6.0
Columbia Men's PFG Anchor Tough T-Shirt,201505,6.0,201505,0,1.82868,-6.0
Columbia Men's PFG Anchor Tough T-Shirt,201508,1.0,201508,2,0.35627,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201509,6.0,201509,4,1.21625,-2.0
Columbia Men's PFG Anchor Tough T-Shirt,201511,5.0,201511,6,0.22949,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201512,7.0,201512,8,2.0917,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201601,8.0,201601,9,0.27207,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201602,8.0,201602,16,0.54442,8.0
Columbia Men's PFG Anchor Tough T-Shirt,201603,7.0,201603,14,0.28895,7.0
Columbia Men's PFG Anchor Tough T-Shirt,201604,3.0,201604,6,1.57877,3.0
Columbia Men's PFG Anchor Tough T-Shirt,201605,4.0,201605,6,0.71828,2.0
Columbia Men's PFG Anchor Tough T-Shirt,201606,3.0,201606,2,1.02685,-1.0
Columbia Men's PFG Anchor Tough T-Shirt,201607,1.0,201607,2,0.24174,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201608,7.0,201608,8,1.05484,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201609,1.0,201609,0,1.35416,-1.0
Columbia Men's PFG Anchor Tough T-Shirt,201610,15.0,201610,23,1.89199,8.0
Columbia Men's PFG Anchor Tough T-Shirt,201611,7.0,201611,11,1.5304,4.0
Columbia Men's PFG Anchor Tough T-Shirt,201612,9.0,201612,9,1.41416,0.0
Columbia Men's PFG Anchor Tough T-Shirt,201702,5.0,201702,8,0.6007,3.0
Columbia Men's PFG Anchor Tough T-Shirt,201703,17.0,201703,26,1.31639,9.0
Columbia Men's PFG Anchor Tough T-Shirt,201704,7.0,201704,14,1.03225,7.0
Columbia Men's PFG Anchor Tough T-Shirt,201705,1.0,201705,2,0.49966,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201708,1.0,201708,2,0.90595,1.0
DVDs,201510,3.0,201510,2,0.36055,-1.0
DVDs,201601,2.0,201601,4,1.51972,2.0
DVDs,201602,2.0,201602,3,0.56788,1.0
DVDs,201710,12.0,201710,41,0.17026,29.0
DVDs,201711,44.0,201711,33,0.79126,-11.0
DVDs,201712,19.0,201712,64,2.03553,45.0
Diamondback Boys' Insight 24 Performance Hybr,201709,1.0,201709,0,1.93983,-1.0
Diamondback Boys' Insight 24 Performance Hybr,201710,2.0,201710,4,2.15012,2.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201709,5.0,201709,2,1.1197,-3.0
Diamondback Women's Serene Classic Comfort Bi,201501,73.0,201501,82,0.71179,9.0
Diamondback Women's Serene Classic Comfort Bi,201502,79.0,201502,101,1.04647,22.0
Diamondback Women's Serene Classic Comfort Bi,201503,61.0,201503,97,0.77267,36.0
Diamondback Women's Serene Classic Comfort Bi,201504,71.0,201504,72,1.19934,1.0
Diamondback Women's Serene Classic Comfort Bi,201505,51.0,201505,59,0.73142,8.0
Diamondback Women's Serene Classic Comfort Bi,201506,72.0,201506,103,1.80827,31.0
Diamondback Women's Serene Classic Comfort Bi,201507,69.0,201507,125,0.48289,56.0
Diamondback Women's Serene Classic Comfort Bi,201508,67.0,201508,132,0.55328,65.0
Diamondback Women's Serene Classic Comfort Bi,201509,69.0,201509,39,2.08176,-30.0
Diamondback Women's Serene Classic Comfort Bi,201510,78.0,201510,101,0.81533,23.0
Diamondback Women's Serene Classic Comfort Bi,201511,62.0,201511,101,1.19441,39.0
Diamondback Women's Serene Classic Comfort Bi,201512,63.0,201512,76,2.1296,13.0
Diamondback Women's Serene Classic Comfort Bi,201601,85.0,201601,62,1.23483,-23.0
Diamondback Women's Serene Classic Comfort Bi,201602,59.0,201602,90,1.95824,31.0
Diamondback Women's Serene Classic Comfort Bi,201603,64.0,201603,31,0.30119,-33.0
Diamondback Women's Serene Classic Comfort Bi,201604,66.0,201604,42,1.75277,-24.0
Diamondback Women's Serene Classic Comfort Bi,201605,71.0,201605,39,0.81197,-32.0
Diamondback Women's Serene Classic Comfort Bi,201606,70.0,201606,109,0.87985,39.0
Diamondback Women's Serene Classic Comfort Bi,201607,61.0,201607,123,1.81245,62.0
Diamondback Women's Serene Classic Comfort Bi,201608,64.0,201608,56,0.23959,-8.0
Diamondback Women's Serene Classic Comfort Bi,201609,63.0,201609,42,1.18269,-21.0
Diamondback Women's Serene Classic Comfort Bi,201610,77.0,201610,2,1.52597,-75.0
Diamondback Women's Serene Classic Comfort Bi,201611,77.0,201611,149,0.97731,72.0
Diamondback Women's Serene Classic Comfort Bi,201612,56.0,201612,87,0.87319,31.0
Diamondback Women's Serene Classic Comfort Bi,201701,56.0,201701,15,1.30907,-41.0
Diamondback Women's Serene Classic Comfort Bi,201702,75.0,201702,81,1.98979,6.0
Diamondback Women's Serene Classic Comfort Bi,201703,56.0,201703,11,0.16137,-45.0
Diamondback Women's Serene Classic Comfort Bi,201704,66.0,201704,91,1.38641,25.0
Diamondback Women's Serene Classic Comfort Bi,201705,61.0,201705,97,2.16128,36.0
Diamondback Women's Serene Classic Comfort Bi,201706,65.0,201706,113,0.46404,48.0
Diamondback Women's Serene Classic Comfort Bi,201707,56.0,201707,90,0.32416,34.0
Diamondback Women's Serene Classic Comfort Bi,201708,64.0,201708,6,1.25768,-58.0
Diamondback Women's Serene Classic Comfort Bi,201709,61.0,201709,34,0.76535,-27.0
Diamondback Women's Serene Classic Comfort Bi,201710,1.0,201710,0,1.77754,-1.0
ENO Atlas Hammock Straps,201501,14.0,201501,20,0.2002,6.0
ENO Atlas Hammock Straps,201502,3.0,201502,5,0.7349,2.0
ENO Atlas Hammock Straps,201503,2.0,201503,2,0.37583,0.0
ENO Atlas Hammock Straps,201504,1.0,201504,2,1.8676,1.0
ENO Atlas Hammock Straps,201505,5.0,201505,10,0.43503,5.0
ENO Atlas Hammock Straps,201506,2.0,201506,2,1.3917,0.0
ENO Atlas Hammock Straps,201507,9.0,201507,5,1.87883,-4.0
ENO Atlas Hammock Straps,201508,10.0,201508,20,1.31973,10.0
ENO Atlas Hammock Straps,201509,9.0,201509,17,0.57382,8.0
ENO Atlas Hammock Straps,201511,5.0,201511,6,2.0856,1.0
ENO Atlas Hammock Straps,201601,5.0,201601,3,1.16183,-2.0
ENO Atlas Hammock Straps,201603,4.0,201603,7,1.77863,3.0
ENO Atlas Hammock Straps,201604,4.0,201604,5,0.68379,1.0
ENO Atlas Hammock Straps,201605,2.0,201605,2,1.27434,0.0
ENO Atlas Hammock Straps,201606,9.0,201606,13,1.43359,4.0
ENO Atlas Hammock Straps,201607,5.0,201607,1,2.08616,-4.0
ENO Atlas Hammock Straps,201608,4.0,201608,1,2.30337,-3.0
ENO Atlas Hammock Straps,201609,5.0,201609,0,0.53017,-5.0
ENO Atlas Hammock Straps,201610,5.0,201610,6,2.12298,1.0
ENO Atlas Hammock Straps,201611,6.0,201611,5,1.4233,-1.0
ENO Atlas Hammock Straps,201612,5.0,201612,5,1.93102,0.0
ENO Atlas Hammock Straps,201701,8.0,201701,12,2.04261,4.0
ENO Atlas Hammock Straps,201702,7.0,201702,0,1.73918,-7.0
ENO Atlas Hammock Straps,201703,7.0,201703,3,0.17242,-4.0
Elevation Training Mask 2.0,201509,3.0,201509,0,0.21624,-3.0
Elevation Training Mask 2.0,201608,4.0,201608,6,2.24138,2.0
Elevation Training Mask 2.0,201705,19.0,201705,21,0.12703,2.0
Elevation Training Mask 2.0,201706,5.0,201706,9,1.28941,4.0
Elevation Training Mask 2.0,201708,3.0,201708,2,1.65973,-1.0
Elevation Training Mask 2.0,201709,4.0,201709,3,1.28252,-1.0
Field & Stream Sportsman 16 Gun Fire Safe,201501,94.0,201501,141,0.9849,47.0
Field & Stream Sportsman 16 Gun Fire Safe,201502,87.0,201502,7,1.68373,-80.0
Field & Stream Sportsman 16 Gun Fire Safe,201503,85.0,201503,153,1.42936,68.0
Field & Stream Sportsman 16 Gun Fire Safe,201504,87.0,201504,73,0.69765,-14.0
Field & Stream Sportsman 16 Gun Fire Safe,201505,84.0,201505,68,2.16727,-16.0
Field & Stream Sportsman 16 Gun Fire Safe,201506,91.0,201506,76,1.65816,-15.0
Field & Stream Sportsman 16 Gun Fire Safe,201507,75.0,201507,46,1.71429,-29.0
Field & Stream Sportsman 16 Gun Fire Safe,201508,87.0,201508,146,2.29671,59.0
Field & Stream Sportsman 16 Gun Fire Safe,201509,75.0,201509,130,1.16715,55.0
Field & Stream Sportsman 16 Gun Fire Safe,201510,88.0,201510,66,1.41359,-22.0
Field & Stream Sportsman 16 Gun Fire Safe,201511,77.0,201511,106,0.67388,29.0
Field & Stream Sportsman 16 Gun Fire Safe,201512,85.0,201512,30,1.80522,-55.0
Field & Stream Sportsman 16 Gun Fire Safe,201601,86.0,201601,91,1.80539,5.0
Field & Stream Sportsman 16 Gun Fire Safe,201602,82.0,201602,29,0.1971,-53.0
Field & Stream Sportsman 16 Gun Fire Safe,201603,84.0,201603,32,1.04703,-52.0
Field & Stream Sportsman 16 Gun Fire Safe,201604,85.0,201604,154,0.36175,69.0
Field & Stream Sportsman 16 Gun Fire Safe,201605,77.0,201605,32,2.29813,-45.0
Field & Stream Sportsman 16 Gun Fire Safe,201606,76.0,201606,131,1.99896,55.0
Field & Stream Sportsman 16 Gun Fire Safe,201607,103.0,201607,16,1.89547,-87.0
Field & Stream Sportsman 16 Gun Fire Safe,201608,107.0,201608,120,1.3658,13.0
Field & Stream Sportsman 16 Gun Fire Safe,201609,83.0,201609,131,1.86185,48.0
Field & Stream Sportsman 16 Gun Fire Safe,201610,74.0,201610,112,1.63063,38.0
Field & Stream Sportsman 16 Gun Fire Safe,201611,98.0,201611,81,1.48834,-17.0
Field & Stream Sportsman 16 Gun Fire Safe,201612,85.0,201612,128,0.83007,43.0
Field & Stream Sportsman 16 Gun Fire Safe,201701,70.0,201701,32,1.34606,-38.0
Field & Stream Sportsman 16 Gun Fire Safe,201702,79.0,201702,91,0.68193,12.0
Field & Stream Sportsman 16 Gun Fire Safe,201703,75.0,201703,91,1.12452,16.0
Field & Stream Sportsman 16 Gun Fire Safe,201704,84.0,201704,8,2.18091,-76.0
Field & Stream Sportsman 16 Gun Fire Safe,201705,81.0,201705,85,0.69943,4.0
Field & Stream Sportsman 16 Gun Fire Safe,201706,85.0,201706,14,0.32904,-71.0
Field & Stream Sportsman 16 Gun Fire Safe,201707,81.0,201707,35,1.76017,-46.0
Field & Stream Sportsman 16 Gun Fire Safe,201708,83.0,201708,167,1.9601,84.0
Field & Stream Sportsman 16 Gun Fire Safe,201709,89.0,201709,8,1.49661,-81.0
Fighting video games,201511,2.0,201511,1,0.27315,-1.0
Fighting video games,201512,2.0,201512,3,0.89837,1.0
Fighting video games,201601,1.0,201601,1,0.15042,0.0
Fighting video games,201603,3.0,201603,0,0.46759,-3.0
Fighting video games,201609,2.0,201609,0,0.10446,-2.0
Fighting video games,201711,14.0,201711,18,0.156,4.0
Fighting video games,201712,23.0,201712,4,1.87778,-19.0
First aid kit,201711,7.0,201711,0,2.29855,-7.0
First aid kit,201712,11.0,201712,18,0.18893,7.0
Fitbit The One Wireless Activity & Sleep Trac,201612,2.0,201612,1,2.24876,-1.0
Fitbit The One Wireless Activity & Sleep Trac,201702,3.0,201702,2,1.00113,-1.0
Fitbit The One Wireless Activity & Sleep Trac,201703,2.0,201703,2,1.5287,0.0
Fitbit The One Wireless Activity & Sleep Trac,201705,7.0,201705,8,2.18901,1.0
Fitbit The One Wireless Activity & Sleep Trac,201706,2.0,201706,4,0.26756,2.0
Fitbit The One Wireless Activity & Sleep Trac,201707,7.0,201707,7,0.49182,0.0
Fitbit The One Wireless Activity & Sleep Trac,201708,4.0,201708,5,1.6174,1.0
Fitbit The One Wireless Activity & Sleep Trac,201709,5.0,201709,1,2.04271,-4.0
Garmin Approach S3 Golf GPS Watch,201610,1.0,201610,0,1.41489,-1.0
Garmin Approach S3 Golf GPS Watch,201705,2.0,201705,0,1.3304,-2.0
Garmin Approach S3 Golf GPS Watch,201707,2.0,201707,1,2.32025,-1.0
Garmin Approach S3 Golf GPS Watch,201708,2.0,201708,3,2.14781,1.0
Garmin Approach S3 Golf GPS Watch,201709,1.0,201709,2,0.78309,1.0
Garmin Approach S3 Golf GPS Watch,201710,2.0,201710,4,1.83329,2.0
Garmin Approach S4 Golf GPS Watch,201709,3.0,201709,2,0.17691,-1.0
Garmin Forerunner 910XT GPS Watch,201709,3.0,201709,2,0.78205,-1.0
Garmin Forerunner 910XT GPS Watch,201710,1.0,201710,2,0.53606,1.0
Glove It Imperial Golf Towel,201502,6.0,201502,4,2.06344,-2.0
Glove It Imperial Golf Towel,201503,3.0,201503,2,0.39484,-1.0
